Episode,Link,Podcast,Guest(s),Host,Podcast link,Tags,Type
Adaptive Fire Testing A new foundation stone for fire safety (ERC StG Grant) with Ruben van Coile,https://www.listennotes.com/podcasts/fire-science-show/080-adaptive-fire-testing-a-AdPWsZHjy8J/,Fire Science Show,Ruben van Coile,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,ERC Starting Grants; fire engineering; fire safety; grant; research; breakthrough research; science; fire testing; adaptive fire testing; machine learning; physics-based machine learning; fire performance; fire resistance; fire testing criteria; value of information assessment; uncertainty quantification; fire lab; numerical evaluations; testing; fire safety criteria; building safety; building product; fire behavior; risk profile; building management; construction management; fire safety related costs;passive; active; fire protection; design; building; industry; resources; paradigm; innovation; government; institution; prescriptive; guidance; regulation; terminology; adaptive; fire testing; risk-based; evaluation; fire performance; product; manufacturer; stakeholder; authorities; automation; evaluation tool; metric system; vision; methodology; proof of concept; glazing; load-bearing; Eurocode; fire dynamics; calculations; glass breakage; fire safety; ERC; value of information; risk metrics; risk profile; building performance; performance-based design; adaptive fire testing; surrogate modeling; machine learning; BIM; fire engineering; prescriptive code compliance; risk evaluation; uncertainty; fire resistance; fire performance; fire safety; framework; evaluation; test; uncertainty; simulation; computational expense; cost function; physical constraints; proof of concept; proof of concept tools; stakeholder buying; FHIR; code compliance; prescriptive; risk profiles; metrics; risk assessment; engineering; design approach; testing,Pod
Advancements in Fire Safety of Facades with Eleni Asimakopoulou,https://www.listennotes.com/podcasts/fire-science-show/124-advancements-in-fire-p6umW-8YHgU/,Fire Science Show,Eleni Asimakopoulou,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,fire safety; facade; facade fires; IFSS conference; OFR Consultants; University of Central Lancashire; Grenfell tragedy; energy efficiency; sustainability; combustible materials; non-combustible materials; ventilated façade systems; façade fires; heat flux meters; image processing analysis; thermocouples; European project; façade systems; façade fires; fire safety; façade fire; façade testing; façade research; façade materials; ventilated facade; energy efficiency; air insulation; cladding; eddix; materials; research; fire; testing; standards; US; Australia; combustible; non-combustible; facade systems; European method; fire stops; intumescent painting; rock wool barriers; BS8414; fire load; compartment; facade tests; geometry; fire event; large-scale; medium-scale; DIN 4102; lateral wall; corner; air entrainment; German test; English test;engineer; central line; systems; opening; CRIPS; fuel sources; gas; wood; moisture; humidity; heat release rate; glazing; facade; sealant; construction details; certification; testing; cost; safety; Pareto front; CFD; finite element; analysis; fire; modeling; simulation; tools; machine learning; artificial intelligence; neural networks; fluid simulation; construction; thermal information; coupled simulation; wall; cavity; panel; flow field; surface heated; compartment,Pod
AI in smart firefighting and the future of FSE PBD with Xinyan Huang,https://www.listennotes.com/podcasts/fire-science-show/007-ai-in-smart-firefighting-uxbHdrQOen7/,Fire Science Show,Xinyan Huang,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,fire; compartment; temperature; smoke; machine learning; AI; prediction; nonlinear; variables; data; algorithms; Hong Kong Polytechnic University; smart firefighting; combustion; microgravity; file engineering design; file fighting; file safety; rocket scientist; CFD code; partial differential equations; computer scientists; mathematicians; CNN; STM; algorithms; file engineers; file scientists; pattern matching; logical thinking; intuition; firefighters; sensors; ears; eyes; brain; experience;fire; fire danger; AI; data; fire service; firefighters; fire command center; temperature sensor; CFD; simulation; database; big data; algorithm; sensor network; fire fighting; firefighting; World of Warcraft; user interface; flashover; backdraft; ventilation; neutral pressure plane; pressure ventilation; flow path; building; flow path analysis; CFD engineer; simulation; database; data sharing; big data age; green buildings; smart buildings;green building; smart HVAC system; building automation system; sensors; energy saving; energy management; fire detection system; building information system; artificial intelligence; AI; CFD simulation; fire scenario; pattern matching; smart firefighting system; tunnel fire; building management system; HVAC energy; fire alarm system; fire suppression system,Pod
An AI supported Fire Safety Engineer with Michael Kinsey,https://www.listennotes.com/podcasts/fire-science-show/095-an-ai-supported-fire-zsfBywJj0GY/,Fire Science Show,Michael Kinsey,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,Generative AI; Natural Language Processing AI; Chatbots; Fire Safety Engineering; Fire Engineers; AI; Language Processing; ChatGPT; Fire Engineering; Fire Risk Consultancy; OFR Consultants; Fire Safety; Fire Risk; Fire Engineering Expertise; Fire Safety Challenges;FHIR code; chatbot; Microsoft Cognitive Services; Azure; fire resistance; Jeopardy; NLP; natural language processing; FHIR strategy; FHIR code chatbot; retrieval-based system; chatGPT; generative-based system; fire code; fire engineering; fire engineers;chatbot; code lookup; code consulting; fire engineers; fire safety; CFD; fluent; python; GPT; AI; Azure Cloud; cognitive services; image analysis; GPU; BIM; code compliance checker; drawing generating; travel distances; widths; autocad; fire strategies; iterations; conceptualization stages; iterations a day; fire safety objectives; building layout; space; layout generator; code compliance; requirements; human verification; software automation; fire engineer; verification; AI technology,Pod
Animal pyrocognition a path to undestand our beginnings with fire with Ivo Jacobs,https://www.listennotes.com/podcasts/fire-science-show/058-animal-pyrocognition-a-iTaW1LsMh_Y/,Fire Science Show, Ivo Jacobs,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,fire; science; engineering; safety; research; animals; perception; cognition; pyrocognition; psychology; evolution; humans; intelligence; tool use; intelligence; fire triangle; cooking; brain; raw food; calories; health; invention; discovery; wildfire; savannah; stone tools;wildfire; fire; ancestors; cooking; food; predators; burnt areas; cooking; tools; heat lamps; crows; bears of prey; birds of prey; Australia; research; project; society; culture; fossils; evidence; archaeology; sediment; charcoal; temperature; science; technology; evolution; humans; animals; social groups; function; behavior; study; observation; experiment; primate; Savannah; grass fire; bonfire; sedimentation; preservation; modification; materials; warmth;pyrocognition; wildfires; thermal buoyant plumes; fire engineers; cooking; human evolution; primates; Japanese macaques; ravens; crows; Japan Monkey Center; sweet potatoes; bonfires; zookeepers; fire engineering; fire science community; documentary series; books; archaeologists; Aeon; footnotes; fire engineering journals; publishing,Pod
Backdraught and Underventilated Fires with Dr. Ricky Carvel,https://www.listennotes.com/podcasts/fire-science-show/129-backdraught-and-wfjLcRP3gqm/,Fire Science Show,Dr. Ricky Carvel,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,Fire Safety Engineering; Fire Engineering; Underventilated Fires; Smoke Explosion; Combustion; Stoichiometric Burning; Equivalence Ratio; Carbon Monoxide; Toxic Products; Fuel Rich; Fuel Lean; OFR Consultants; Fire Risk Consultancy; Smart Passive Income; Pat Flynn; Ricky Carvell; University of Edinburgh; Dr;carbon monoxide; fire behavior; ventilation; compartment fire; smoke explosions; backdraft; fire dynamics; flammability limits; pyrolysis; radicals; fuel; oxygen; combustion reaction; fire safety; Edinburgh University; PhD students; postdocs; MSc students; David Purser; Dougal Drysdale; Ron Howard; Hollywood movie; fire pressure; firefighters;backdraft; fire; oxygen; fuel; ventilation; compartment; ignition; flammable; mixture; pyrolysis; gases; flame; reaction; zone; diffusion; flow; turbulence; interface; embers; auto-ignition; catalyst; chemistry; sensors; technology; furnace; decision; funding; project; idea; analysis; green; light; red; light; delay; uncertainty; mechanism; quantity; temperature,Pod
Battery fires with Roeland Bisschop,https://www.listennotes.com/podcasts/fire-science-show/battery-fires-with-roeland-w35zH_QmoDb/,Fire Science Show,Roeland Bisschop,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,fire safety engineering; electric vehicle fires; battery fires; fire engineering; thermal runaway; lithium-ion battery cells; battery management system; fire detection; fire response; car parks; fire safety; fire risk assessment; heat release rate; electric vehicles; internal combustion engine vehicles;electric vehicle; battery pack; heat release rate; fire; thermal propagation; peak heat release rate; battery cells; pouch cells; prismatic cells; internal combustion engine; fuel tank; energy storage system; fire safety; design fire; smoke control system; car park; CFD simulation;electric vehicles; fire safety; battery pack; vehicle-to-vehicle propagation; risk management; fire engineering; thermal runaway; jet flames; smoke entrainment; fire tests; calorimeter hood; thermocouples; observation; smoke plumes; flammable gas; buoyancy; metallic particles; electrolyte contents; hydrogen fluoride; toxic gases; carbon monoxide; hydrogen cyanide; polyurethane; tenability criteria; visibility conditions; smoke visibility,Pod
BIM (not only for fire) with Peter Thompson and Rino Lovreglio,https://www.listennotes.com/podcasts/fire-science-show/062-bim-not-only-for-fire-mw-frYD6PBj/,Fire Science Show,Peter Thompson and Rino Lovreglio,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,BIM; building information modeling; Autodesk; Revit; GHB; movement strategies; civil engineering; architecture; digital construction; reality simulations; serious games; virtual reality; virtual reality training tool; earthquakes; 3D model; database; information layer; virtual reality application; simulation modeling; green building design; energy performance; GBXML; IFC files; open bim format; green building design software; analysis tools; building design; software development; matrix; building codes; FDS codes;Fire modeling; FDS; IFC; BIM; CFD; Autodesk; Revit; API; Occupant movement modeling; IFC standards; Interoperability; BIM interoperability; Construction industry; Cloud; Facility management; Digital twin; Sensor; FHIR; BAM; Fire safety strategy; Building code; Travel distance calculations; Prescriptive regulations; Code compliance; Energy modeling; Green building design; Local country rules;fire safety; fire engineer; generative design; BIM; CFD; Revit; IFC; fire compartment; distance checker; automation; compliance checker; rapid prototyping; performance-based fire engineering; fire technology; evacuation simulation; fire engineer of the future; round trip data; COVID; post-COVID; Warsaw; skyline; fire safety engineering; building industry; CFD models; numerical model; purposeful modeling; doorknob; flow field; model data;,Pod
"Brainstorming fire safe Mars habitats with Ruben van Coile, Jaime Cadena Gomez and Szymek Matkowski",https://www.listennotes.com/podcasts/fire-science-show/qa5-brainstorming-fire-safe-srWAkwpOeDE/,Fire Science Show,"Ruben van Coile, Jaime Cadena Gomez and Szymek Matkowski",Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,Mars habitats; fire safety; risk engineering; habitat design; Martian habitat; fire risk consultancy; OFR; fire safety features; brainstroming session; safety principles; risk assessment; habitat size; evacuation studies; human concepts; space habitats; Martian city-state; colony base; life support systems; redundancy; compartmentalization; metro system; submarine; comfortable environment;fire safety; fire risk; loss of containment; hazardous substances; process safety engineering; compartmentation; acceptance level; risk acceptance criteria; Martian environment; habitat; infrastructure; engineering; physics; smoke flow; gravity; Mars development; vision zero strategy; consequence; infrastructure damage; colony survival; smart engineering;medical conditions; Mars; space; survival; fire safety; systems; maintenance; resources; colony; industry; International Space Station; explosion; Voyager; space station; Earth; fire; oxygen; ignition; thermal effects; fuels; methane; combustion; architecture; habitat; military mission; survival; compartment; trash; Ruben; NASA; exploration; safety,Pod
Building Integrated Photovoltaics with Reidar Stølen,https://www.listennotes.com/podcasts/fire-science-show/148-building-integrated-ZgmKk16xpAr/,Fire Science Show,Reidar Stølen,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,photovoltaic; building integrated photovoltaic; photovoltaics; sustainability; energy generation; distributed network; fire safety; evacuation signage; means of escape; fire engineering; fire risk consultancy; fire dynamics; facade fires; facade photovoltaics; aesthetics; wind load; aluminum frames; steel frames; facade design; PV modules; glass; silicone; PMMA;PV facade; building integrated PV; glass front; EVA plastic; plastic film; glass modules; aluminum frames; cavity barriers; combustible material; fire safety; SP-FIRE-105; large-scale facade test method; fire chamber; heptane; flashover; fire compartment; fire propagation; fire load; damage; glass panels; aluminum frames; glue; structural damage; module falling; cavity; gypsum boards; backing of PV modules; back sheet; non-combustible; plastic;fire; PV module; combustible material; heat; facade; roof; slope; PV installation; electric arc; DC current; connector; contact resistance; plastic encapsulant; glass; heptane; wind barrier; wooden trusses; PV panel; roof surface; Scandinavia; Poland; Norway; roof fire test; standardized fire test; building attached PV modules; roof slope; roof materials; configurations; wood crib fire; flying brand; electric fault; ignition source; heat release; plastic materials,Pod
"Busses, flammability and an unknown force holding good solutions back with Anja Hofmann-Böllinghaus",https://www.listennotes.com/podcasts/fire-science-show/029-busses-flammability-and-T7qly15BYHM/,Fire Science Show,Anja Hofmann-Böllinghaus,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,bus; train; fire; passenger; chamber; ignition; source; material; property; architecture; compartment; vehicle; transportation; safety; regulation; detector; smoke; fire safety; mass transport; German BAM; Anja Hoffmann-Buddinghaus; FDS; calculation; simulation; incident; accident; investigation; report; research; material properties; fire behavior; plastic; comfort; seat; cushion; experiment; testing;ignition source; fire safety; calorimetry tests; flammability; heat release rate; smoke production; toxicity; vertical test; horizontal test; fire spread; fire behavior; combustion; fire suppression; fire detection; engine suppression; fire sources; size of fires; plastics; infrastructure projects;fire; vehicle; experiment; BRE; Japan; plastic; material; seat; toxicity; smoke; heat; regulation; flammability; infrastructure; building; industry; electromobility; battery; electric motor; engine; combustion; safety; escape; escape time; simulation; calculation; model; cushion; passenger; benefit; requirement; test method; cone; combustible lining; facade; danger; risk factor; problem; solution; money; resource,Pod
"Car parks, design fires and the broad world of fire science with Mike Spearpoint",https://www.listennotes.com/podcasts/fire-science-show/048-car-parks-design-fires-iNmA75uHjKF/,Fire Science Show,Mike Spearpoint,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,fire safety; heat release rate; design fire; car parks; vehicle fires; fire engineering; calorimetry; channel tunnel; fire research; BRE; NIST; University of Maryland; Professor Quinteri; Fred Maurer; Jose Torero; fire brigade; car fire; pool fire; suspension system; pressurized suspension system; Austin Maestro; Citroen car; fire engineers; COPAC fires; Vita Brabouskas; Schleich curve; TNO;calorimetry; car park; CIN; CFD; design fire; fire engineering; fire growth; fire dynamics; fuel package; ignition; incubation time; mesh size; NIST; Schleip curve; smoke detection; steady state fire; T-squared; turbulence method; verification method; virtual time;likelihood; probability; scenarios; tool; parameters; B-Risk; zone modeling; probabilistic; deterministic; CFD; BRIS; Monte Carlo; heat release rate; Dutch standards; fire; rescue service; car park; fire resistance; guidance documents; acceptable solution; cost benefit analysis; property protection; statistics,Pod
Challenging fires at the wildland-urban interface (WUI) with Michael Gollner,https://www.listennotes.com/podcasts/fire-science-show/069-challenging-fires-at-the-7B5S_Oq3rlL/,Fire Science Show,Michael Gollner,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,Wildland-urban interface; WUI; Fire engineering; Wildfires; Bushfires; Combustion; Fluid mechanics; Fire threat; Fire engineering; Wildfire; Fire scientist; Fire seasons; Fire engineering; Wildland-urban interface; Wildfire research; Fire engineering; Fire engineering; Fire engineering; Fire engineering; Wildfire; Wildland-urban interface; Wildland-urban interface; Fire engineering; Fire engineering; Fire engineering; Fire engineering; Wildfire;wildfire; fire; disaster; WUI; infrastructure; mitigation; construction; wooden decks; drywall; doors; fire doors; ignition; embers; radiant heat; defensible space; fire modeling; Crown Fire Modeling Experiments; forest service; fire lab; Montana; Canada; Jack Cohen; International Crown Fire Modeling Experiments; radiant heat; skin; burns; house; structure; fire department; evacuation; fire engineering; paradigm; smoke alarm; firefighting; fire crew; disaster;fire; wildfire; smoke; fuel; embers; particles; combustion; firebrands; spot fires; N95 mask; HEPA filter; defensible space; structure; evacuation; life safety; firefighters; wuyi fires; urban fires; post-earthquake fires,Pod
"Chemistry of smoke Nitrogen, retardants and cancirogens with David Purser",https://www.listennotes.com/podcasts/fire-science-show/106-chemistry-of-smoke-ow9A5BdgWn1/,Fire Science Show,David Purser,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,toxicology; fire smoke; fire retardants; nitrogen; carbon monoxide; NOx; cyanide; polyurethane; polyamide; polyacrylonitrile; polyisocianurate; PIR; CO2; HCN; fire atmosphere; wildfire smoke; large chemical fires; cancerogens; fire safety; fire engineering; fire risk consultancy; fire safety challenges;furnace; tube; fire; compartment; combustion; conditions; apparatus; equivalence ratio; fuels; CO; CO2; carbon; monoxide; chemistry; dynamics; pyrolysis; wood; charcoal; CFD; analysis; plume; upper layer; ventilation; oxygen; temperature; chemistry; combustion zone; doorways; doorway; global equivalence ratio; atmosphere; tube flow; apparatus-dependent; test-dependent; physics-dependent; chemistry-dependent; parameters; fuel-air ratio; mass loss rate; tube furnace; PVC; wood; steel; CO2; CO; carbon; combustion; hydrogen chloride; fire; fire retardants; flame retardants; environmentally friendly; toxicity; equivalence ratios; combustion engines; catalyzers; radicals; halogens; ignition sources; products; needle; slow; toxic; yield; gram; fuel; burned; materials; retardant; armchair; lounge; bedroom; house; enclosed space; vitiated layer; oxygen; concentration,Pod
Closing the year with a look back on 2021 and forward to the future!,https://www.listennotes.com/podcasts/fire-science-show/032-closing-the-year-with-a-G-LZu_BH84j/,Fire Science Show,"Danny Hopkin, Erica Kuligowski, Enrico Ronchi and …",Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,Fire Science; Show; Podcast; Episode; Fire Engineering; Science; Research; Evaluation; Institute; Smoldering; Megafires; Professor; Guillermo Reyn; Gabriel Avina; Roland Bishop; Danny Hopkins; Timber; Fire; Engineering; Codes; Standards; Mass Timber; CLT; Apartment; Building; Design; Safety; Concrete; Steel; Brickwork; Masonry; Fuels; Combustion; Problems; Angus Law; Graham Spinardi;fire engineering; artificial intelligence; CFD; fire safety engineering; performance-based fire engineering; timber; structure fire engineering; evacuation science; wildfire evacuation; machine learning; flammability of wood; performance-based design; fire modeling; fire dynamics; fire protection; fire risk assessment;evacuation; fire; safety; engineering; modeling; sensors; smart; building; threat; decision-making; bias; simulation; reliability; legislation; science; technology; communication; research; engineering; ecology; fluid dynamics; burn; match; candle; flame; heat; fuel; air; ignition; conduction; convection; radiation; scaling; fire safety; future; engineering; industry; leaders; society; triangle; science; industry; legislators; politics,Pod
Cognitive biases and decision making in evacuation with Michael Kinsey,https://www.listennotes.com/podcasts/fire-science-show/009-cognitive-biases-and-lBpJxm5OVrI/,Fire Science Show,Michael Kinsey,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,fire alarm; evacuation; decision-making; biases; heuristics; cognitive biases; evacuation process; evacuation modeling; engineering; safety systems; emergency; escape route; exit; building; office; paper; research; behavioral economics; Nobel Prize; Daniel Kahneman; Thinking Fast and Slow; psychology; fire safety engineers; fire evacuations; evacuation time; movement time; pre-movement time; fire engineering; fire safety; fire modeling; individual decision-making; personal experiences; fire survival;decision making; human behavior; evacuation models; fire engineer; uncertainty; sensitivity testing; conservatism; simulation models; decision-making avatar; route selection; familiarity; probability distributions; statistical precision; evacuation dynamics; fire evacuation; evacuation time; evacuation modeling; evacuation simulation; human behavior modeling; irrational behavior; observer ignorance; traumatic experience; evacuation drill; evacuation process; realistic avatars; movement process;evacuation; fire; safety; engineering; bias; modeling; human behavior; decision making; cognition; psychology; emergency; incident; fire safety engineer; protective action decision model; classification; framework; pre-decision stage; perception; attentiveness; comprehension; decision-making stage; credibility; personalization; action; fire evacuation biases; fire engineering; decision model biases; evacuation model biases; cognitive biases; biases in fire evacuation; biases in fire engineering; biases in human behavior,Pod
"Combustion, fluid mechanics and fire safety engineering with Michael Gollner",https://www.listennotes.com/podcasts/fire-science-show/022-combustion-fluid-mOWjw5duHIF/,Fire Science Show,Michael Gollner,Wojciech Wegrzynski,https://www.firescienceshow.com/?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,fire; science; combustion; fire whirls;  whirls; fluid mechanics; fundamental combustion; fire safety engineering; university; California; Berkeley; engineering; wildfire; risk analysis; emissions; heat transfer; fluid dynamics; partial differential equations; Navier-Stokes equation; CFD code; sprinkler system; pressure; head; nonlinearity; road tunnel; heat detector; fire testing; megawatt; fire size; tunnel fire; fire engineering; fire protection; fire phenomena; fire dynamics; fire suppression; radiation; temperature; power; combustion; fire; pyrolysis; flame; heat; rate; spread; inclined; angle; flammability; ignitability; heat release; rate; heat transfer; convection; diffusion; buoyancy; pool fire; wildfire; slope; wildfire; pyrolysis zone; flame zone; plume zone; flammable vapors; diffusion flame; yellow flame; sooty flame; premixed flame; blue flame; burning rate; heat transfer;steel; temperature; heat flux; radiation; convection; heat transfer; thermal theory; ignition; facade fires; fire safety; fire engineering; wildfire; combustion; flammable substrates; expandable foam; fire test; thermocouples; fire labs; fire suppression; firebreaks; wildcrown fires; surface fire; fire spread; slope fire; wind-driven fires; fire protection engineering; King's Cross fire; escalator; flammable materials; fire growth; ventilation path,Pod
